"";"Title";"Date";"all_countries";"RC.Title";"RC.ID";"Ongoing.Past.x";"Initiative.x";"Intervention";"Type.of.emergency.x";"Type.of.displacement.x";"Type.of.displacement.setting";"Mandating.body.agency.x";"REACH.Pillar";"Type.of.information.product";"REACH.Tools";"IASC.Sector";"IASC.Cross.Cutting.Issue";"Donor";"Path";"Year";"Month";"RC.Age";"Country";"country_1";"Research.Cycle.ID";"Research.Cycle.Title";"Project.Code";"Pillar";"Sub.Pillar";"Initiative.y";"Type.of.displacement.y";"Type.of.emergency.y";"Mandating.body.agency.y";"Ongoing.Past.y";"RC.Number";"Country.Code"
"1";"CHAD_ToRs_MultisectorAssessmentLakeChad_20151209";"2015-12";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"REACH";"Displacement";"Terms of Reference";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/chadtorsmultisectorassessmentlakechad20151209";2015;12;"old";"Chad";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"REACH_CHAD_Lake_Questionanire_20151215";"2015-12";"Chad";NA;NA;NA;NA;"CAR Displacement Crisis 2014";"Conflict";"internal displacement";"host community";"REACH";"Displacement";"Methodology & tool";"Key informant interviews";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/reachchadlakequestionanire20151215";2015;12;"old";"Chad";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"TCD_Report_Evaliation multisectorielle dans la region de Lac Chad_Mars 2016";"2016-03";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Complex Emergency";"";"";"REACH";"Displacement";"Report";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdreportevaliation-multisectorielle-dans-la-region-de-lac-chadmars-2016";2016;3;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"4";"TCD_Terms of Reference_Community Profiling of Host and Displaced Population in the Lake Chad Region, May 2016";"2016-05";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community";"REACH";"Displacement";"Terms of Reference";"";"Multisector";"Gender";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdterms-of-referencecommunity-profiling-of-host-and-displaced-population-in-the-lake-chad";2016;5;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"5";"TCD_Factsheet_Comparative Dashboard, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Gender";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"6";"TCD_Factsheet_Comparative Dashboard, Bagassola, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Gender";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-bagassola-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"7";"TCD_Factsheet_Comparative Dashboard, Bol, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-bol-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"8";"TCD_Factsheet_Comparative Dashboard, Daboua, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-daboua-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"9";"TCD_Factsheet_Comparative Dashboard, Doum-Doum, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-doum-doum-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"10";"TCD_Factsheet_Comparative Dashboard, Kangallam, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-kangallam-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
